(33, 71)    array([ 4.82857260e-01,  7.58162580e-02,  5.37498766e-01,  4.35933120e-03,         5.69864759e-07,  6.70986560e-01, -7.51158772e-09,  1.52376330e-09,         3.50368481e-02, -4.50890923e-09,  1.69543051e-02])    array([7.85105033e-04, 1.04535949e-03, 9.89401273e-04, 2.90046068e-04,        6.40197328e-12, 5.95907307e-03, 2.25761210e-15, 8.35728243e-17,        8.27025485e-03, 7.49242628e-16, 3.09960162e-03])
(28, 1)    array([ 1.28721455e-01, -5.90229138e-01,  5.42471352e-01,  2.44749062e-04,         6.85454807e-11,  4.00558766e-01,  2.06720132e-14,  8.86155841e-15,         4.05347840e-01,  1.95944962e-14,  1.03471454e-02])    array([4.82949729e-03, 1.13304239e-03, 1.22524550e-03, 4.16426931e-07,        3.28841494e-20, 3.02473777e-03, 3.35422449e-27, 5.56504894e-28,        4.96185206e-03, 2.71622626e-27, 7.49073512e-04])
(35, 15)    array([ 5.02080671e-01,  2.16188540e-02,  4.88982282e-01,  2.76213840e-03,         4.68816459e-10,  9.14428899e-07, -5.78313683e-12, -3.31817446e-12,         1.51043317e-07,  1.90268822e-12,  7.05433859e-01])    array([2.05725468e-03, 5.94708955e-03, 1.96510757e-03, 5.34058558e-04,        3.30111821e-19, 3.22164994e-11, 9.03929677e-22, 4.49030805e-22,        1.59697450e-12, 3.13514019e-21, 1.95884247e-04])
(32, 83)    array([ 1.10820723e-01, -7.38343556e-01,  3.92925210e-01,  2.97607411e-12,        -4.26135865e-13, -1.54056815e-12, -1.20939624e-12,  3.97033334e-01,        -2.19710372e-13,  9.92583334e-02,  3.47404167e-01])    array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])
(38, 51)    array([ 2.27725822e-01, -7.83015692e-01,  4.11587302e-02,  1.52697039e-10,         4.08248300e-01,  1.29857628e-09, -4.42518683e-10, -8.27661790e-12,         4.08248283e-01, -3.97779729e-10,  2.25561554e-10])    array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])
(42, 22)    array([-5.25454772e-01,  6.60598130e-02, -4.68543898e-01,  2.65532781e-11,         7.42904978e-12,  2.17776167e-11,  1.70231690e-11,  1.99713649e-13,         7.07106781e-01,  2.18955824e-11, -1.46521626e-11])    array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])
(65, 60)    array([-5.89249501e-02, -5.38516274e-01,  4.71726676e-01,  1.74076354e-02,         1.70495616e-02,  1.85321050e-02,  2.19790712e-09,  8.20601142e-04,         5.97389299e-02,  1.12286777e-03,  6.28231546e-01])    array([2.63851140e-02, 5.76536491e-03, 6.32453626e-03, 4.33286813e-03,        5.66459841e-03, 3.89068448e-03, 3.52625518e-16, 9.47385448e-05,        1.65394606e-02, 9.06131807e-05, 1.57313364e-02])
(58, 28)    array([-4.97210237e-01,  2.91911442e-01, -4.28345409e-01, -1.19241306e-13,         6.53965108e-01,  3.81752770e-12, -5.29966344e-12,  2.24746164e-12,         8.53465436e-02, -5.62251190e-12,  1.85189998e-12])    array([3.62454247e-03, 2.14721339e-02, 7.07014681e-03, 8.27022936e-25,        5.02194547e-03, 2.92210293e-23, 7.69920332e-23, 2.91396022e-23,        1.19467367e-02, 7.04649322e-23, 6.59304064e-24])
(55, 48)    array([-6.18300049e-01, -2.63187142e-01,  2.53617849e-01,  1.57465331e-13,         1.01110769e-07,  2.47081011e-02, -3.49495309e-15, -1.18989317e-13,         2.70855804e-12,  1.69436152e-13,  6.93779614e-01])    array([1.35579317e-04, 4.38242514e-04, 2.48920857e-05, 5.00144691e-26,        2.04467752e-14, 1.22098044e-03, 2.76408156e-29, 2.85014175e-26,        1.46642155e-23, 5.69341279e-26, 3.55226741e-04])
(57, 91)    array([-6.10119757e-01, -2.47623721e-01,  2.57751299e-01, -1.54903350e-09,         2.20968465e-09,  2.55364124e-07,  1.63549556e-09,  1.52852672e-09,         7.07105899e-01, -2.11376384e-09,  1.52258287e-06])    array([5.39437862e-09, 1.15535346e-06, 7.30104904e-07, 4.79755051e-18,        9.74048082e-18, 3.12022190e-14, 5.33260225e-18, 4.67496690e-18,        3.97758599e-13, 8.96040598e-18, 1.15223093e-12])
(58, 41)    array([-2.61695469e-01,  5.39887969e-01, -3.74214460e-01,  3.49096455e-12,         5.27138659e-11, -1.62262341e-12, -1.45539989e-12, -2.71072447e-13,         7.07106781e-01,  1.68871189e-12,  8.75750052e-11])    array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])
(59, 98)    array([-6.95569212e-01, -2.93089203e-01,  2.91364573e-01,  3.37746974e-01,        -3.72072722e-10,  6.23049886e-08,  3.54041164e-09,  3.34364056e-09,         4.71395490e-01,  7.83189756e-10,  7.79805133e-07])    array([1.47888808e-05, 1.30429581e-04, 5.29048576e-08, 4.96984198e-03,        1.38499110e-19, 4.76997476e-15, 1.25348456e-17, 1.11793175e-17,        3.98703646e-03, 6.13265371e-19, 5.97752891e-13])
(78, 88)    array([-1.32322340e-02, -5.46075107e-01,  4.42582221e-01,  3.08176148e-02,         3.98335722e-03,  7.38938793e-03,  3.90731095e-09,  2.68867295e-04,         6.68748545e-01,  4.25477933e-04,  1.60611775e-02])    array([2.65966025e-02, 5.24408856e-03, 4.72677816e-03, 8.62645996e-03,        6.76453344e-04, 1.93293069e-03, 6.57007807e-15, 1.17710161e-05,        6.63766121e-03, 3.83748788e-05, 2.75371511e-03])
(59, 94)    array([-6.89432511e-01, -2.80711513e-01,  2.90609749e-01,  6.53162988e-07,        -1.27169459e-09,  3.32938559e-02,  1.34238168e-09, -2.38371244e-09,         5.66053041e-01, -2.37441524e-09,  1.99763128e-01])    array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])
(75, 18)    array([ 3.13053937e-02, -6.78330454e-01,  4.10613150e-01,  1.39960740e-02,         4.09684987e-01, -1.11205544e-10, -4.73161631e-10,  2.87108226e-10,         3.36894015e-03, -1.58138420e-10,  3.77453984e-01])    array([1.02690768e-02, 1.80569274e-03, 5.71608735e-03, 1.18324066e-03,        2.09198015e-02, 2.19148901e-19, 9.08860633e-19, 7.68147160e-19,        1.47379419e-04, 5.04677467e-18, 1.97227924e-02])
