Location_ID,Location_String,Latitude,Longitude,X,Y,Z
1,"Ashland, OR",42.1972487,-122.7153995,-0.400397481736759,-0.623314604626282,0.67168501567211
2,"Yuba City, CA",39.1404477,-121.6169108,-0.406598945808958,-0.660480275585777,0.631223496734065
3,"Oceanside, NY",40.6387141,-73.6401296,0.213739657379602,-0.728107459649709,0.651287099569536
4,"Auckland, New Zealand",-36.8534665,174.7655514,-0.796835097470333,0.0730007595016763,-0.599770553254845
5,"Columbia, MO",38.951883,-92.3337366,-0.031666990982472,-0.77702918124209,0.628667521970368
6,"Goodyear, AZ",33.4001695,-112.45722351601,-0.318905890362926,-0.771535656191842,0.550483209840639
7,"Anchorage, AK",61.2163129,-149.8948523,-0.416552309028164,-0.241516931035323,0.876443806451152
8,"Online, OH, USA",40.2253569,-82.6881395,0.0971719044429825,-0.757301523805924,0.645795651137532
9,"Raleigh, NC",35.7803977,-78.6390989,0.159809539431056,-0.795367856093375,0.58468015581193
10,"Charlotte, VA",37.0416273,-78.6523968,0.157054091446261,-0.78259450307845,0.602395099674113
11,"Killeen, TX",31.1171441,-97.727796,-0.115118815529052,-0.848337345366027,0.516789518826098
12,"Petaluma, CA",38.270022,-122.606122413043,-0.423059907973019,-0.661364629548513,0.61936834036623
13,"Batavia, IL",-6.1753942,106.827183,-0.287806134458673,0.951627976974652,-0.107572405416478
14,"Calgary, AB, Canada",51.02532675,-114.049868485806,-0.25632792998364,-0.574376019638269,0.777424067272683
15,"Iowa City, IA",41.6612561,-91.5299106,-0.0199463521808221,-0.746821526703297,0.664725319426931
16,"Fitchburg, MS",42.5724193,-71.8111281611782,0.229874686211438,-0.699625768979307,0.676521553255554
17,"Scranton, PA",41.4086874,-75.6621294,0.185732256497111,-0.726649650563844,0.661425592362387
18,"Online, MO",38.7604815,-92.5617875,-0.0348531681727828,-0.778990664926332,0.626066131192186
19,"Paoli, PA",40.040739,-75.4928444948136,0.191780293377449,-0.741177504249839,0.643332127494065
20,"Scottsdale, AZ",33.5091215,-111.8992365,-0.31098613680666,-0.773632104100094,0.552069733113246
21,PA,8.3096067,-81.3066246,0.149559727431006,-0.978133552880278,0.144522111320613
22,"Asheville, NC",35.6009498,-82.5540161,0.105369648731962,-0.806234700269161,0.582136448960207
24,"Ottawa, Ontario, Canada",45.421106,-75.690308,0.173481362819013,-0.68011381049648,0.712284649228394
25,"Arcadia, CA",43.82840345,-66.05815643305,0.29275763927599,-0.659344737160727,0.692500889691848
26,"Toronto, Quebec, Canada",43.6606651,-79.4707243494618,0.132200142304289,-0.711259735702455,0.69038591435747
27,"Saskatchewan, Canada",55.5321257,-106.1412243,-0.157335766428041,-0.543634193892743,0.82444364260578
28,"Adelaide, Australia",-34.9281805,138.5999312,-0.614993189910467,0.54219074285984,-0.572549189782715
29,"Lanarkshire, Scotland",55.5752966,-3.833333,0.56405793121728,-0.0377942992280299,0.824869832868644
30,"Reno, NV",39.52927,-119.8136744,-0.383475514238423,-0.669215590063835,0.636472327752817
31,GA,-0.8999695,11.6899699,0.979137494732353,0.202590876676567,-0.0157067850520683
32,"Brisbane, CA",43.7445681,-80.0767202,0.124495805554112,-0.711621530025765,0.691444569291872
33,"Mason, IA",43.1535728,-93.2010367,-0.0407362556246122,-0.728384846222059,0.683956192509253
34,"Lancaster, OH",39.7136754,-82.5993294,0.0990845639053351,-0.762838977949328,0.638951440186901
35,"Lubbock, TX",33.5778631,-101.8551665,-0.171157957808972,-0.815364250823636,0.553069699004993
36,"Venice Beach, CA",33.9796472,-118.468563095478,-0.395277390842688,-0.728963916167945,0.558898374674404
37,"Perth, Western Australia, Australia",-31.9527121,115.8604796,-0.370093281439394,0.763516888335406,-0.529219164675696
38,"Tarrytown, NY",41.0762077,-73.8587461,0.209571285751951,-0.724119500449707,0.657062268934034
39,"Chatsworth, CA",44.4560807,-80.8978758,0.112917383343344,-0.70479945860197,0.700362326009375
40,"Cotati, CA",38.3266798,-122.7068441,-0.423890732274028,-0.660104215425839,0.620144395983085
41,"Stanford, CT",37.4248398,-122.1677058,-0.422805511798227,-0.672243757583751,0.607720190204932
42,"Seminole, FL",28.7225829,-81.2353683,0.133626979459065,-0.866716268447405,0.480569183749075
43,"Cerritos, CA",33.8644291,-118.0539323,-0.390519601547525,-0.732795671416091,0.55722970556226
44,"Madrid, Spain",40.4167047,-3.7035825,0.759759298399889,-0.0491791337775481,0.648341901542541
45,"Cape Coral, FL",26.6059432,-81.9806771,0.124734347919071,-0.885364375086281,0.44785183462534
46,"Commerce, CA",46.7934356,-71.2568567,0.219989715701557,-0.648323692578808,0.728890193805986
47,"Culver City, CA",34.0211224,-118.3964665,-0.394167299236523,-0.729104639047858,0.559498494664176
48,"West Valley City, UT",40.696629,-111.9867271,-0.283853639134027,-0.703031262665236,0.652053797830895
49,"Hanover, NH",43.703622,-72.288666,0.219928866907192,-0.688657851647105,0.690928112661305
50,"Online, CA",61.0666922,-107.9917071,-0.149433116103759,-0.460134441091783,0.875183432163037
51,"Grenada, MS",33.7690049,-89.8084192,0.00277957651534959,-0.831280637925022,0.55584599932478
52,"Columbia, MD",39.2156213,-76.8582049,0.176153531054855,-0.754481149324053,0.632240562453535
53,"Santa Monica, CA",46.724362,-75.559685,0.170946265346921,-0.66385220467886,0.728064299843742
54,"Nelson, BC, Canada",49.494891,-117.290039,-0.297799808393349,-0.577222759338919,0.760348052027523
55,"San Carlos, CA",37.504936,-122.2618236,-0.423455313777062,-0.670829265822734,0.608829773705017
