         2             4        0.50     69  38    -0.54(0.07)  0.36(0.05) -0.39(0.04)  0.63(0.01)  0.00(0.00) -0.00(0.00) -0.00(0.00) -0.00(0.00)  0.13(0.02) -0.00(0.00)  0.00(0.00) 
         2             3        0.67     78  46    -0.17(0.05) -0.42(0.05)  0.67(0.03)  0.52(0.02)  0.00(0.00)  0.00(0.00) -0.00(0.00)  0.00(0.00)  0.26(0.01) -0.00(0.00)  0.04(0.04) 
         2             2        1.00     77  70    -0.30(0.00) -0.48(0.00)  0.43(0.00)  0.00(0.00)  0.00(0.00) -0.00(0.00)  0.71(0.00)  0.00(0.00)  0.00(0.00)  0.00(0.00)  0.00(0.00) 
         1             9        0.11     42  22    -0.53(0.00)  0.07(0.00) -0.47(0.00)  0.00(0.00)  0.00(0.00)  0.00(0.00)  0.00(0.00)  0.00(0.00)  0.71(0.00)  0.00(0.00) -0.00(0.00) 
         1             9        0.11     32  83     0.11(0.00) -0.74(0.00)  0.39(0.00)  0.00(0.00) -0.00(0.00) -0.00(0.00) -0.00(0.00)  0.40(0.00) -0.00(0.00)  0.10(0.00)  0.35(0.00) 
         1             8        0.12     99  55     0.32(0.00) -0.54(0.00) -0.33(0.00)  0.00(0.00)  0.00(0.00)  0.71(0.00) -0.00(0.00)  0.00(0.00) -0.00(0.00)  0.00(0.00)  0.00(0.00) 
         1             5        0.20     58  41    -0.26(0.00)  0.54(0.00) -0.37(0.00)  0.00(0.00)  0.00(0.00) -0.00(0.00) -0.00(0.00) -0.00(0.00)  0.71(0.00)  0.00(0.00)  0.00(0.00) 
         1             2        0.50     89  56     0.18(0.00) -0.58(0.00)  0.54(0.00)  0.41(0.00)  0.00(0.00)  0.00(0.00) -0.00(0.00)  0.00(0.00)  0.00(0.00)  0.41(0.00)  0.00(0.00) 
         1             2        0.50     76  53    -0.11(0.00) -0.67(0.00)  0.42(0.00)  0.00(0.00)  0.00(0.00)  0.00(0.00)  0.00(0.00)  0.00(0.00)  0.53(0.00)  0.00(0.00)  0.27(0.00) 
         1             2        0.50     73  28     0.41(0.00) -0.02(0.00)  0.58(0.00)  0.00(0.00) -0.00(0.00)  0.00(0.00)  0.00(0.00) -0.00(0.00)  0.00(0.00)  0.71(0.00) -0.00(0.00) 
